Ref,studysite,Case,Lon,Lat,Soil.layer,Climate_Name,Control,Var,yi,vi,se,Agenumber,Recovery.mode,MAT,MAP,Altitude,BD,pH,Sand,Silt,Clay,Vege,Purpose,biome
11,6,17,109.229375,36.778375,topsoil,Arid,Cropland,LI,-0.233327693,0.006666667,0.081649658,30,artificial,8.8,505.3,1129,1.256669998,8.366670227,35.06786346,37.90490112,16.52649994,broadleaved,RobiniaP,3
11,7,20,109.229375,36.778375,topsoil,Arid,Cropland,LI,-0.316883452,0.006666667,0.081649658,40,artificial,8.8,505.3,1172,1.256669998,8.366670227,35.06786346,37.90490112,16.52649994,broadleaved,RobiniaP,3
11,8,23,109.229375,36.778375,topsoil,Arid,Cropland,LI,-0.977064293,0.006666667,0.081649658,50,artificial,8.8,505.3,1183,1.256669998,8.366670227,35.06786346,37.90490112,16.52649994,broadleaved,RobiniaP,3
11,1,26,109.229375,36.778375,topsoil,Arid,Cropland,LI,3.14E-02,0.006666667,0.081649658,5,artificial,8.8,505.3,1198,1.256669998,8.366670227,35.06786346,37.90490112,16.52649994,broadleaved,RobiniaP,3
11,2,29,109.229375,36.778375,topsoil,Arid,Cropland,LI,0.135565996,0.006666667,0.081649658,10,artificial,8.8,505.3,1171,1.256669998,8.366670227,35.06786346,37.90490112,16.52649994,broadleaved,RobiniaP,3
11,3,32,109.229375,36.778375,topsoil,Arid,Cropland,LI,-4.75E-02,0.006666667,0.081649658,15,artificial,8.8,505.3,1150,1.256669998,8.366670227,35.06786346,37.90490112,16.52649994,broadleaved,RobiniaP,3
11,4,35,109.229375,36.778375,topsoil,Arid,Cropland,LI,3.50E-02,0.006666667,0.081649659,20,artificial,8.8,505.3,1029,1.256669998,8.366670227,35.06786346,37.90490112,16.52649994,broadleaved,RobiniaP,3
11,5,38,109.229375,36.778375,topsoil,Arid,Cropland,LI,0.237613813,0.006666667,0.081649658,25,artificial,8.8,505.3,1249,1.256669998,8.366670227,35.06786346,37.90490112,16.52649994,broadleaved,RobiniaP,3
11,6,41,109.229375,36.778375,topsoil,Arid,Cropland,LI,0.16004271,0.006666667,0.081649658,30,artificial,8.8,505.3,1129,1.256669998,8.366670227,35.06786346,37.90490112,16.52649994,broadleaved,RobiniaP,3
11,7,44,109.229375,36.778375,topsoil,Arid,Cropland,LI,7.65E-02,0.006666667,0.081649658,40,artificial,8.8,505.3,1172,1.256669998,8.366670227,35.06786346,37.90490112,16.52649994,broadleaved,RobiniaP,3
11,8,47,109.229375,36.778375,topsoil,Arid,Cropland,LI,-0.58369389,0.006666667,0.081649658,50,artificial,8.8,505.3,1183,1.256669998,8.366670227,35.06786346,37.90490112,16.52649994,broadleaved,RobiniaP,3
12,1,49,106.366625,29.816625,topsoil,Temperate,Bareland,LI,0.148182995,0.006666666,0.081649657,18,artificial,24.225,1300,861,1.37,8.58,35.19610977,34.76619873,33.36359863,broadleaved,environmentaltree,3
12,1,50,106.366625,29.816625,topsoil,Temperate,Bareland,LI,0.392534969,0.006666666,0.081649655,18,artificial,24.225,1300,861,1.41,8.72,35.19610977,34.76619873,33.36359863,broadleaved,environmentaltree,3
12,1,51,106.366625,29.816625,topsoil,Temperate,Bareland,LI,0.184705012,0.006666667,0.081649658,18,artificial,24.225,1300,861,1.36,8.38,35.19610977,34.76619873,33.36359863,broadleaved,environmentaltree,3
12,1,52,106.366625,29.816625,topsoil,Temperate,Bareland,LI,0.263042031,0.006666666,0.081649656,18,artificial,24.225,1300,861,1.38,8.47,35.19610977,34.76619873,33.36359863,broadleaved,environmentaltree,3
12,1,53,106.366625,29.816625,topsoil,Temperate,Bareland,LI,0.254600076,0.006666667,0.081649658,18,artificial,24.225,1300,861,1.4,8.47,35.19610977,34.76619873,33.36359863,broadleaved,Acacia,3
12,1,54,106.366625,29.816625,topsoil,Temperate,Bareland,LI,0.398210341,0.006666666,0.081649655,18,artificial,24.225,1300,861,1.42,8.59,35.19610977,34.76619873,33.36359863,broadleaved,Acacia,3
12,1,55,106.366625,29.816625,topsoil,Temperate,Bareland,LI,0.349401109,0.006666667,0.081649657,18,artificial,24.225,1300,861,1.38,8.37,35.19610977,34.76619873,33.36359863,broadleaved,Eucalyptus,3
12,1,56,106.366625,29.816625,topsoil,Temperate,Bareland,LI,0.494125017,0.006666666,0.081649657,18,artificial,24.225,1300,861,1.4,8.49,35.19610977,34.76619873,33.36359863,broadleaved,Eucalyptus,3
12,1,57,106.366625,29.816625,topsoil,Temperate,Bareland,LI,0.213108059,0.006666666,0.081649655,18,artificial,24.225,1300,861,1.41,8.56,35.19610977,34.76619873,33.36359863,broadleaved,environmentaltree,3
12,1,58,106.366625,29.816625,topsoil,Temperate,Bareland,LI,0.589053583,0.006666666,0.081649656,18,artificial,24.225,1300,861,1.42,8.71,35.19610977,34.76619873,33.36359863,broadleaved,environmentaltree,3
12,1,59,106.366625,29.816625,topsoil,Temperate,Bareland,LI,0.338553906,0.006666666,0.081649656,18,artificial,24.225,1300,861,1.36,8.37,35.19610977,34.76619873,33.36359863,broadleaved,environmentaltree,3
12,1,60,106.366625,29.816625,topsoil,Temperate,Bareland,LI,0.653633293,0.006666667,0.081649658,18,artificial,24.225,1300,861,1.38,8.49,35.19610977,34.76619873,33.36359863,broadleaved,environmentaltree,3
13,1,37,106.366625,29.816625,topsoil,Temperate,Bareland,LI,5.12E-02,0.006666667,0.081649661,23,natural,19.8,2296.5,861,1.11,5.95,35.19610977,34.76619873,33.36359863,broadleaved,environmentaltree,3
13,1,38,106.366625,29.816625,topsoil,Temperate,Bareland,LI,-0.272764102,0.006666667,0.081649658,23,artificial,19.8,2296.5,861,1.03,5.47,35.19610977,34.76619873,33.36359863,broadleaved,Eucalyptus,3
13,1,39,106.366625,29.816625,topsoil,Temperate,Bareland,LI,-0.40383835,0.006666666,0.081649657,23,artificial,19.8,2296.5,861,1.07,5.99,35.19610977,34.76619873,33.36359863,coniferous,Pinaceae,3
13,1,40,106.366625,29.816625,topsoil,Temperate,Bareland,LI,2.41E-02,0.006666667,0.081649659,23,natural,19.8,2296.5,861,1.14,5.88,35.19610977,34.76619873,33.36359863,broadleaved,environmentaltree,3
13,1,41,106.366625,29.816625,topsoil,Temperate,Bareland,LI,-0.310192653,0.006666666,0.081649657,23,artificial,19.8,2296.5,861,1.12,5.83,35.19610977,34.76619873,33.36359863,broadleaved,Eucalyptus,3
13,1,42,106.366625,29.816625,topsoil,Temperate,Bareland,LI,-0.347584862,0.006666666,0.081649657,23,artificial,19.8,2296.5,861,1.25,5.98,35.19610977,34.76619873,33.36359863,coniferous,Pinaceae,3
13,1,43,106.366625,29.816625,topsoil,Temperate,Bareland,LI,0.108681771,0.006666667,0.081649658,23,natural,19.8,2296.5,861,1.19,6.03,35.19610977,34.76619873,33.36359863,broadleaved,environmentaltree,3
13,1,44,106.366625,29.816625,topsoil,Temperate,Bareland,LI,0.168972737,0.006666666,0.081649657,23,artificial,19.8,2296.5,861,1.17,5.64,35.19610977,34.76619873,33.36359863,broadleaved,Eucalyptus,3
13,1,45,106.366625,29.816625,topsoil,Temperate,Bareland,LI,0.145264343,0.006666667,0.081649658,23,artificial,19.8,2296.5,861,1.28,5.99,42,NA,20,coniferous,Pinaceae,3
16,1,1,110.133375,27.150125,topsoil,Temperate,Cropland,LI,-2.240800073,0.006666667,0.081649658,36,artificial,7,472,558,1.226669998,5.833330154,37.96131516,45.90100098,30.36789856,broadleaved,Caraga korshinskii Kom,1
16,1,2,110.133375,27.150125,topsoil,Temperate,Cropland,LI,-2.171613413,0.006666667,0.081649658,5,artificial,7,472,558,1.226669998,5.833330154,37.96131516,45.90100098,30.36789856,broadleaved,environmentaltree,1
16,1,3,110.133375,27.150125,topsoil,Temperate,Cropland,LI,-0.856720417,0.006666667,0.081649658,7,artificial,7,472,558,1.226669998,5.833330154,37.96131516,45.90100098,30.36789856,broadleaved,environmentaltree,1
16,1,4,110.133375,27.150125,topsoil,Temperate,Cropland,LI,-2.591426849,0.006666667,0.081649658,3,artificial,7,472,558,1.226669998,5.833330154,37.96131516,45.90100098,30.36789856,broadleaved,Caraga korshinskii Kom,1
16,1,5,110.133375,27.150125,topsoil,Temperate,Cropland,LI,-1.626281427,0.006666667,0.081649658,10,artificial,7,472,558,1.226669998,5.833330154,37.96131516,45.90100098,30.36789856,broadleaved,environmentaltree,1
16,1,6,110.133375,27.150125,topsoil,Temperate,Cropland,LI,-0.175250594,0.006666667,0.081649658,20,artificial,7,472,558,1.226669998,5.833330154,37.96131516,45.90100098,30.36789856,broadleaved,environmentaltree,1
16,1,7,110.133375,27.150125,topsoil,Temperate,Cropland,LI,-2.225393857,0.006666667,0.081649658,44,artificial,7,472,558,1.226669998,5.833330154,37.96131516,45.90100098,30.36789856,broadleaved,Caraga korshinskii Kom,1
16,1,8,110.133375,27.150125,topsoil,Temperate,Cropland,LI,-2.321507238,0.006666667,0.081649658,37,artificial,7,472,558,1.226669998,5.833330154,37.96131516,45.90100098,30.36789856,broadleaved,environmentaltree,1
16,1,9,110.133375,27.150125,topsoil,Temperate,Cropland,LI,-0.743144749,0.006666667,0.081649658,8,artificial,7,472,558,1.226669998,5.833330154,37.96131516,45.90100098,30.36789856,broadleaved,environmentaltree,1
16,1,19,110.133375,27.150125,topsoil,Temperate,Grassland,LI,0.473093516,0.006666667,0.081649658,4.2,artificial,7,472,558,1.226669998,5.833330154,37.96131516,45.90100098,30.36789856,broadleaved,Caraga korshinskii Kom,1
16,1,20,110.133375,27.150125,topsoil,Temperate,Grassland,LI,1.143574653,0.006666667,0.081649658,40,artificial,7,472,558,1.226669998,5.833330154,37.96131516,45.90100098,30.36789856,broadleaved,environmentaltree,1
16,1,21,110.133375,27.150125,topsoil,Temperate,Grassland,LI,1.005076566,0.006666667,0.081649658,20,artificial,7,472,558,1.226669998,5.833330154,37.96131516,45.90100098,30.36789856,broadleaved,environmentaltree,1
16,1,22,110.133375,27.150125,topsoil,Temperate,Grassland,LI,0.335744628,0.006666667,0.081649658,16,artificial,7,472,558,1.226669998,5.833330154,37.96131516,45.90100098,30.36789856,broadleaved,Caraga korshinskii Kom,1
16,1,23,110.133375,27.150125,topsoil,Temperate,Grassland,LI,1.902184526,0.006666667,0.081649658,10,artificial,7,472,558,1.226669998,5.833330154,37.96131516,45.90100098,30.36789856,broadleaved,environmentaltree,1
