Soil.layer,Landuse,SOC_yi,SOC_vi,LI_yi,LI_vi
topsoil,Cropland,59.87630172,0.741385554,95.83418827,0.400801068
subsoil,Cropland,173.2927547,4.17120817,-27.87644644,0.400801068
topsoil,Cropland,41.01274015,0.471037611,96.70557939,0.400801068
topsoil,Cropland,59.87630172,0.741385554,95.83418827,0.400801068
subsoil,Cropland,173.2927547,4.17120817,-27.87644644,0.400801068
topsoil,Bareland,26.28676466,0.006670222,8.860820044,0.668893869
topsoil,Bareland,22.97794114,0.006670222,2.552020406,0.668893869
topsoil,Bareland,24.26470586,0.006670222,40.59405944,0.668893869
topsoil,Bareland,24.26470586,0.006670222,44.30452751,0.668893869
topsoil,Bareland,39.70588229,0.006670222,-25.87758776,0.668893869
topsoil,Bareland,42.2794118,0.006670222,35.55780778,0.668893869
topsoil,Bareland,29.59558824,0.006670222,27.96623921,0.668893869
topsoil,Bareland,26.28676466,0.006670222,-22.4529023,0.668893869
topsoil,Bareland,22.97794114,0.006670222,-10.91020364,0.668893869
topsoil,Bareland,24.26470586,0.006670222,-5.936490606,0.668893869
topsoil,Bareland,24.26470586,0.006670222,-10.62333252,0.668893869
topsoil,Bareland,39.70588229,0.006670222,3.386065092,0.668893869
topsoil,Bareland,42.2794118,0.006670222,-5.019635004,0.668893869
topsoil,Bareland,29.59558824,0.006670222,-1.695462482,0.668893869
topsoil,Bareland,5.31803963,2.337618843,-4.304604253,0.501252086
topsoil,Abandoned,29.10641244,0.949176073,-8.798605641,0.501252086
topsoil,Bareland,5.31803963,2.337618843,21.26015477,0.501252086
topsoil,Bareland,5.31803963,2.337618843,32.27766963,0.501252086
topsoil,Bareland,5.31803963,2.337618843,-2.899692708,0.501252086
topsoil,Bareland,5.31803963,2.337618843,-8.479467777,0.501252086
topsoil,Abandoned,29.10641244,0.949176073,4.50223001,0.501252086
topsoil,Abandoned,29.10641244,0.949176073,9.647582148,0.501252086
topsoil,Abandoned,29.10641244,0.949176073,-19.96764904,0.501252086
topsoil,Abandoned,29.10641244,0.949176073,-10.95851889,0.501252086
